Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble,Price_Change,Price_Range,Returns,SMA_5,SMA_20,Volatility,Close_lag_1,Volume_lag_1
2002-04-24,RELIANCE,EQ,291.2,293.0,319.8,289.0,289.8,289.65,291.83,1200688,35039880235000.004,829491.0,0.2264,-3.3500000000000227,30.80000000000001,-0.005322802197802234,289.03000000000003,296.45,6.303653911151367,291.2,3663176.0
2002-04-25,RELIANCE,EQ,289.65,290.5,290.9,285.2,286.45,287.0,288.0,1689884,48668755075000.0,1168932.0,0.4044,-3.5,5.699999999999989,-0.009148972898325503,287.96,295.795,6.579011683895778,289.65,1200688.0
2002-04-26,RELIANCE,EQ,287.0,287.5,290.9,285.6,289.55,288.5,288.54,1129707,32596500165000.0,370781.0,0.3282,1.0,5.2999999999999545,0.005226480836237002,288.71999999999997,295.20500000000004,6.682043888385567,287.0,1689884.0
2002-04-29,RELIANCE,EQ,288.5,289.0,289.0,272.65,274.9,275.3,277.46,4719600,130950719734999.98,1451904.0,0.3076,-13.699999999999989,16.350000000000023,-0.04575389948006925,286.33,293.8625,7.814542364618438,288.5,1129707.0
2002-04-30,RELIANCE,EQ,275.3,275.0,279.7,273.55,278.75,278.35,277.45,1688485,46847209130000.0,1451904.0,0.3076,3.3500000000000227,6.149999999999977,0.011078823102070423,283.76000000000005,292.6025,8.192783650711393,275.3,4719600.0
2002-05-02,RELIANCE,EQ,278.35,283.95,286.0,281.5,284.9,284.35,283.4,1310034,37126296885000.0,507743.0,0.3876,0.4000000000000341,4.5,0.021555595473324862,282.7,291.87250000000006,8.247702630684868,278.35,1688485.0
2002-05-03,RELIANCE,EQ,284.35,285.0,289.95,284.7,287.65,287.85,287.34,1732728,49789071300000.0,502128.0,0.2898,2.8500000000000227,5.25,0.012308774397749245,282.87,290.9975,7.649191133707906,284.35,1310034.0
2002-05-06,RELIANCE,EQ,287.85,288.05,291.0,287.65,290.5,289.7,289.28,1357613,39273311830000.0,704931.0,0.5192,1.6499999999999773,3.3500000000000227,0.006426958485322043,283.11,290.1975,6.822610917884578,287.85,1732728.0
2002-05-07,RELIANCE,EQ,289.7,289.0,294.3,287.15,294.0,293.15,291.5,1204058,35098785665000.0,392358.0,0.3259,4.149999999999977,7.150000000000034,0.011908871246116615,286.68,289.70500000000004,6.174542386623183,289.7,1357613.0
2002-05-08,RELIANCE,EQ,293.15,294.0,295.4,288.6,289.95,289.95,292.04,1764537,51531556710000.0,537954.0,0.3049,-4.050000000000011,6.7999999999999545,-0.01091591335493769,289.0,289.195,5.666775282756413,293.15,1204058.0
